# lat,lng,id,name,building_type,type,url,page_type
# mondragone -- Tutti
41.114396,13.879663,ov_blue_moon_caf__41.1144_13.8797,Blue Moon Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/blue_moon_caf_41.1144_13.8797.json,custom
41.114070,13.878952,ov_peter_s_bar_41.1141_13.8790,Peter's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/peters_bar_41.1141_13.8790.json,custom
41.114180,13.878840,ov_gran_caff__margherita_41.1142_13.8788,Gran Caffè Margherita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/gran_caff_margherita_41.1142_13.8788.json,custom
41.114180,13.878840,ov_leon_bar_dal_1951_41.1142_13.8788,Leon Bar dal 1951,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/leon_bar_dal_1951_41.1142_13.8788.json,custom
41.114197,13.876944,ov_la_f_brica_41.1142_13.8769,La Fábrica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/la_fbrica_41.1142_13.8769.json,custom
41.113828,13.877869,ov_chalet_kennedy_41.1138_13.8779,Chalet Kennedy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/chalet_kennedy_41.1138_13.8779.json,custom
41.113090,13.877461,ov_lido_pino_d_oro_41.1131_13.8775,Lido Pino D'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/lido_pino_doro_41.1131_13.8775.json,custom
41.112198,13.878184,ov_bar_lido_venere_41.1122_13.8782,Bar Lido Venere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_lido_venere_41.1122_13.8782.json,custom
41.113849,13.876377,ov_chalet_cin_cin_41.1138_13.8764,Chalet Cin Cin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/chalet_cin_cin_41.1138_13.8764.json,custom
41.114455,13.875885,ov_bistrot_kursaal_41.1145_13.8759,Bistrot Kursaal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bistrot_kursaal_41.1145_13.8759.json,custom
41.081018,13.915510,ov_bar_tabacchi_brunetti_41.0810_13.9155,Bar Tabacchi Brunetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_tabacchi_brunetti_41.0810_13.9155.json,custom
41.102420,13.895477,ov_lido_onbesonne_beach_41.1024_13.8955,Lido Onbesonne Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/lido_onbesonne_beach_41.1024_13.8955.json,custom
41.106497,13.890982,ov_bar_tabacchi_km_19_41.1065_13.8910,Bar Tabacchi Km 19,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_tabacchi_km_19_41.1065_13.8910.json,custom
41.107702,13.891550,ov_bar_pasticceria_la_dolce_festa_41.1077_13.8915,Bar Pasticceria La Dolce Festa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_pasticceria_la_dolce_festa_41.1077_13.8915.json,custom
41.110147,13.891679,ov_prestige_coffee_41.1101_13.8917,Prestige Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/prestige_coffee_41.1101_13.8917.json,custom
41.109851,13.887006,ov_zanzibar_41.1099_13.8870,Zanzibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/zanzibar_41.1099_13.8870.json,custom
